menu_id;nama_minuman;kategori;rasa_asam;rasa_manis;rasa_pahit;rasa_gurih;tekstur;temperatur;temperatur_opsi;kafein;bahan_utama;topping;carbonated;sweetness_level;harga;popularitas;foto;aroma;flavor_notes
MI_01;ESPRESSO;ESPRESSO BASED;0.6;0;1;0;LIGHT;Dingin;Dingin, Panas;Ya;Kopi;-;Tidak;Bitter;10000;574;espresso.png;kopi;earthy
MI_02;AMERICANO;ESPRESSO BASED;0.4;0;0.9;0;LIGHT;Dingin;Dingin, Panas;Ya;Kopi, Air;-;Tidak;Bitter;15000;1518;americano.png;kopi;earthy
MI_03;CAPPUCCINO;ESPRESSO BASED;0.3;0.1;0.8;0;LIGHT;Dingin;Dingin, Panas;Ya;Kopi, Susu;-;Tidak;Low;15000;896;cappuccino.png;kopi;earthy
MI_04;SANGER;ESPRESSO BASED;0.2;0.4;0.6;0.4;LIGHT;Dingin;Dingin, Panas;Ya;Kopi, Susu Kental Manis;-;Tidak;Medium;15000;4921;sanger.png;kopi;earthy, creamy
MI_05;MOCHACCINO;ESPRESSO BASED;0.2;0.3;0.7;0;CREAMY;Dingin;Dingin;Ya;Kopi, Cokelat, Susu;-;Tidak;Low;15000;626;mochaccino.png;kopi;earthy, chocolaty
MI_06;MACCHIATO;ESPRESSO BASED;0.4;0.4;0.7;0;LIGHT;Dingin;Dingin;Ya;Kopi, Foam;-;Tidak;Low;20000;1090;macchiato.png;kopi;earthy
MI_07;KOPI SUSU;KOPI;0;0.6;0.4;0.4;CREAMY;Dingin;Dingin;Ya;Kopi, Susu, Gula;-;Tidak;Medium;15000;6077;kopi_susu.png;kopi;creamy
MI_08;KOPI SODA;KOPI;0;0.2;0.9;0;LIGHT;Dingin;Dingin;Ya;Kopi, Soda;-;Ya;Bitter;15000;853;kopi_soda.png;kopi;earthy
MI_09;KOPI LEMON;KOPI;0.7;0.2;0.5;0;LIGHT;Dingin;Dingin;Ya;Kopi, Lemon;-;Tidak;Bitter;18000;742;kopi_lemon.png;kopi;earthy, fruity
MI_10;KOPI GULA AREN;KOPI;0;0.7;0.4;0.2;CREAMY;Dingin;Dingin;Ya;Kopi, Gula Aren, Susu;-;Tidak;Medium;18000;1553;kopi_gula_aren.png;kopi;caramelized
MI_11;BISCOFFEE;KOPI;0;0.9;0.1;0.4;HEAVY;Dingin;Dingin;Ya;Kopi, Susu, Selai Biscoff;Biscoff;Ya;Medium;22000;397;biscoffee.png;kopi;caramelized, creamy
MI_12;BERRY SQUASH;SODA;0.3;0.6;0;0;BUBBLY;Dingin;Dingin;Tidak;Soda, Sirup Berry;-;Ya;Medium;18000;2425;berry_squash.png;buah;fruity
MI_13;LEMON SQUASH;SODA;0.7;0.4;0;0;BUBBLY;Dingin;Dingin;Tidak;Soda, Lemon, Sirup;-;Ya;Low;18000;1397;lemon_squash.png;buah;fruity
MI_14;LYCHEE SQUASH;SODA;0.6;0.4;0;0;BUBBLY;Dingin;Dingin;Tidak;Soda, Sirup Leci;-;Ya;Low;18000;2908;lychee_squash.png;buah;fruity
