user_id,taste,mood,texture,caffeine,temperature,budget,selected_items
1,manis,energi,heavy,sedang,panas,high,"['BISCOFFEE', 'STRAWBERRY', 'TEH']"
2,netral,energi,light,sedang,panas,mid,"['LYCHEE SQUASH', 'TEH', 'KOPI LEMON', 'MACCHIATO', 'MOCHACCINO', 'TEH JAHE']"
3,netral,rileks,light,sedang,panas,low,"['STRAWBERRY', 'KOPI SUSU', 'TEH STRAWBERRY', 'TEH HIJAU', 'KOPI GULA AREN']"
4,netral,energi,light,tinggi,bebas,mid,"['LEMON KISS', 'TEH HIJAU', 'TEH SEREH']"
5,manis,menyegarkan,creamy,non-kafein,bebas,bebas,"['BANANA', 'TEH', 'KOPI GULA AREN', 'MANGO', 'CHOCOLATE']"
6,manis,manis,creamy,rendah,bebas,mid,"['KOPI GULA AREN', 'MANGO', 'CHOCOLATE', 'CRUNCHY CREAMY', 'STRAWBERRY']"
7,asam,menyegarkan,bubbly,rendah,dingin,high,"['KOPI GULA AREN', 'KOPI LEMON', 'LEMON KISS']"
8,asam,menyegarkan,bubbly,non-kafein,dingin,mid,"['LEMON SQUASH', 'LYCHEE SQUASH', 'JAHE MERAH', 'VARIASI PINK', 'BISCOFFEE', 'STRAWBERRY']"
9,pahit,rileks,creamy,sedang,dingin,high,"['TEH HIJAU', 'AMERICANO', 'KOPI SODA', 'BISCOFFEE']"
10,netral,menyegarkan,creamy,sedang,panas,bebas,"['BERRY SQUASH', 'TEH HIJAU', 'KOPI SUSU', 'TEH LECI', 'TEH LEMON']"
11,netral,rileks,bubbly,non-kafein,bebas,high,"['TEH JAHE', 'JAHE MERAH', 'LEMON KISS', 'TELANG SQUASH']"
12,asam,menyegarkan,bubbly,non-kafein,panas,bebas,"['LEMON KISS', 'STRAWBERRY', 'LEMON SQUASH', 'CHOCOLATE']"
13,manis,energi,creamy,sedang,bebas,high,"['TEH', 'CHOCOLATE', 'BISCOFFEE']"
14,netral,energi,light,rendah,bebas,bebas,"['STRAWBERRY', 'LEMON SQUASH', 'TEH JAHE']"
15,manis,rileks,heavy,tinggi,dingin,high,"['KOPI GULA AREN', 'BISCOFFEE', 'TEH']"
16,asam,menyegarkan,creamy,non-kafein,dingin,mid,"['LEMON SQUASH', 'STRAWBERRY', 'CRUNCHY CREAMY', 'VARIASI PINK']"
17,netral,rileks,light,non-kafein,dingin,mid,"['TEH HIJAU', 'LYCHEE SQUASH', 'TEH', 'VARIASI PINK']"
18,asam,menyegarkan,heavy,non-kafein,dingin,mid,"['STRAWBERRY', 'LYCHEE SQUASH', 'LEMON SQUASH', 'VARIASI PINK', 'LEMON KISS']"
19,netral,energi,creamy,sedang,panas,high,"['VARIASI PINK', 'TEH STRAWBERRY', 'JAHE MERAH', 'TEH JAHE SEREH', 'BERRY SQUASH', 'TEH LEMON']"
20,manis,manis,creamy,sedang,panas,high,"['BISCOFFEE', 'TEH', 'AVOCADO', 'MANGO']"
21,pahit,manis,bubbly,sedang,panas,bebas,"['MACCHIATO', 'TEH LEMON', 'BISCOFFEE', 'KOPI LEMON', 'MOCHACCINO', 'KOPI SODA']"
22,asam,menyegarkan,light,rendah,dingin,low,"['LEMON SQUASH', 'VARIASI PINK', 'LYCHEE SQUASH', 'BISCOFFEE', 'KOPI LEMON', 'TEH HIJAU']"
